service_id,date,exception_type
1,20260704,2
2,20260515,2
2,20260522,2
2,20260529,2
2,20260605,2
2,20260612,2
2,20260619,1
2,20260626,2
2,20260703,2
2,20260710,2
2,20260717,2
2,20260724,2
2,20260731,2
2,20260807,2
2,20260814,2
3,20260511,2
3,20260512,2
3,20260513,2
3,20260514,2
3,20260515,2
3,20260518,2
3,20260519,2
3,20260520,2
3,20260521,2
3,20260522,2
3,20260525,2
3,20260526,2
3,20260527,2
3,20260528,2
3,20260529,2
3,20260601,2
3,20260602,2
3,20260603,2
3,20260604,2
3,20260605,2
3,20260608,2
3,20260609,2
3,20260610,2
3,20260619,2
4,20260511,1
4,20260512,1
4,20260513,1
4,20260514,1
4,20260515,1
4,20260518,1
4,20260519,1
4,20260520,1
4,20260521,1
4,20260522,1
4,20260525,2
4,20260526,1
4,20260527,1
4,20260528,1
4,20260529,1
4,20260601,1
4,20260602,1
4,20260603,1
4,20260604,1
4,20260605,1
4,20260608,1
4,20260609,1
4,20260610,1
4,20260611,2
4,20260612,2
4,20260615,2
4,20260616,2
4,20260617,2
4,20260618,2
4,20260619,2
4,20260622,2
4,20260623,2
4,20260624,2
4,20260625,2
4,20260626,2
4,20260629,2
4,20260630,2
4,20260701,2
4,20260702,2
4,20260703,2
4,20260706,2
4,20260707,2
4,20260708,2
4,20260709,2
4,20260710,2
4,20260713,2
4,20260714,2
4,20260715,2
4,20260716,2
4,20260717,2
4,20260720,2
4,20260721,2
4,20260722,2
4,20260723,2
4,20260724,2
4,20260727,2
4,20260728,2
4,20260729,2
4,20260730,2
4,20260731,2
4,20260803,2
4,20260804,2
4,20260805,2
4,20260806,2
4,20260807,2
4,20260810,2
4,20260811,2
4,20260812,2
4,20260813,2
4,20260814,2
6,20260511,2
6,20260516,2
6,20260518,2
6,20260523,2
6,20260525,1
6,20260530,2
6,20260601,2
6,20260606,2
6,20260608,2
6,20260613,2
6,20260615,2
6,20260620,2
6,20260622,2
6,20260627,2
6,20260629,2
6,20260704,1
6,20260706,2
6,20260711,2
6,20260713,2
6,20260718,2
6,20260720,2
6,20260725,2
6,20260727,2
6,20260801,2
6,20260803,2
6,20260808,2
6,20260810,2
6,20260815,2
